NUMERODOSSIER;type_creance;numero_de_creance;Date_echeance;total_creance;Nature_crence;iddebiteur;type_creance
13650961;146964519;F-0324-1039336;01/03/2024;148,99;Fixe;9309;4
7524634;144064940;F-0324-1058800;04/03/2024;99;Mobile;953;1
13638888;146791677;F-0324-1020349;01/03/2024;49;Mobile;8983;2
12231700;133231315;F-0324-1543732;02/03/2024;261,75;Fixe;3935;2
12478647;138880979;F-0324-0498462;02/03/2024;148,99;Fixe;4309;5
12279318;121616721;F-0324-0486584;01/03/2024;249;Fixe;3996;3
12843172;133505120;F-0324-0605094;02/03/2024;49;Mobile;4910;4
7562098;146928018;F-0324-1064294;04/03/2024;148,99;Fixe;962;1
13640223;146845518;F-0324-1039874;01/03/2024;148,99;Fixe;9015;2
13638278;146790587;F-0224-1089077;01/02/2024;49;Mobile;8960;2
13638278;146790587;F-0324-1032837;01/03/2024;49;Mobile;8960;5
13645704;146883644;F-0324-1028252;01/03/2024;49;Mobile;9159;3
9694768;147133671;F-0324-1065142;04/03/2024;48;Mobile;1456;4
13433695;143201515;F-0324-1544458;02/03/2024;576,06;Fixe;6753;1
13688154;147693152;F-0324-1213003;03/03/2024;249;Fixe;10470;2
4194134;146783823;F-0324-1063892;04/03/2024;99;Mobile;223;2
13677908;147433756;F-0324-1217296;03/03/2024;249;Fixe;10135;5
13338182;141935011;F-0324-1251919;01/03/2024;149,25;Mobile;6202;3
13377889;142437067;F-0324-1534656;03/03/2024;515,8;Fixe;6430;4
13668451;147147767;F-0324-1294363;02/03/2024;199;Mobile;9856;1
13489593;144078481;F-0324-1246644;01/03/2024;49;Mobile;7155;2
13246112;140392929;F-0324-1226568;03/03/2024;349;Fixe;5887;2
13513371;144392271;F-0324-1280723;02/03/2024;49;Mobile;7451;5
13703047;148080697;F-0324-1345198;04/03/2024;49;Mobile;10900;3
12763612;144062844;F-0324-1258208;01/03/2024;99;Mobile;4731;4
13693953;147851816;F-0324-1335049;04/03/2024;49;Mobile;10665;1
13703903;148082391;F-0324-1311396;04/03/2024;249;Mobile;10918;2
12651378;147765724;F-0324-1243659;01/03/2024;49;Mobile;4549;2
13678836;147435379;F-0324-1207792;03/03/2024;249;Mobile;10165;5
11508126;108783383;F-0324-1299298;02/03/2024;49;Mobile;3033;3
13622979;146433631;F-0324-1336081;04/03/2024;248,98;Fixe;8692;4
12333645;122489311;F-0324-1243916;01/03/2024;49;Mobile;4079;1
11883337;136862856;F-0324-1224449;03/03/2024;48;Mobile;3455;2
13579324;145602655;F-0324-1267346;01/03/2024;248,98;Fixe;8224;2
13188049;142916801;F-0324-1226267;03/03/2024;249;Fixe;5739;5
13172657;146873980;F-0324-1217586;03/03/2024;248,98;Fixe;5702;3
13546218;144975291;F-0324-1317100;04/03/2024;149;Mobile;7837;4
12836003;133370041;F-0324-1271012;01/03/2024;49;Mobile;4894;1
13679998;147517691;F-0324-1234097;03/03/2024;248,98;Fixe;10201;2
12463481;129786085;F-0324-1253404;01/03/2024;49;Mobile;4285;2
13488048;144075886;F-0324-1246738;01/03/2024;99;Mobile;7131;5
13454730;143507612;F-0324-0025421;03/03/2024;49;Mobile;6908;3
12805699;132927428;F-0324-0006927;03/03/2024;249;Fixe;4838;4
10739973;98093746;F-0324-0594453;02/03/2024;240;Mobile;2361;1
11249276;140749809;F-0324-0432309;01/03/2024;99;Mobile;2794;2
13218300;145699483;F-0324-0600578;02/03/2024;49;Mobile;5814;2
11509363;132076346;F-0324-1298991;02/03/2024;49;Mobile;3035;5
11491185;140654075;F-0324-1243994;01/03/2024;49;Mobile;3017;3
12870723;134019719;F-0324-0013787;03/03/2024;149,01;Fixe;4973;4
12511821;126673111;F-0324-0441304;01/03/2024;249;Fixe;4353;1
13575515;145515768;F-0324-0445570;01/03/2024;49;Mobile;8180;2
13584775;145694571;F-0324-0600968;02/03/2024;99;Mobile;8274;2
12332376;144075494;F-0324-0469841;01/03/2024;49;Mobile;4075;5
10803874;98866217;F-0324-0601524;02/03/2024;49;Mobile;2406;3
13635446;146785231;F-0324-1035968;01/03/2024;49;Mobile;8875;4
13671732;147254093;F-0324-0902792;03/03/2024;49;Mobile;9948;1
13660332;147071270;F-0224-1125338;02/02/2024;49;Mobile;9598;2
13660332;147071270;F-0324-0963883;02/03/2024;49;Mobile;9598;2
13366394;142291174;F-0324-0540707;02/03/2024;148,99;Fixe;6370;5
12303992;121990964;F-0224-0675244;02/02/2024;49;Mobile;4044;3
12303992;121990964;F-0324-0608959;02/03/2024;49;Mobile;4044;4
13371546;142365518;F-0324-0538263;02/03/2024;249;Fixe;6403;1
13688455;147693691;F-0324-0931453;03/03/2024;99;Mobile;10485;2
13666530;147143528;F-0324-0987522;02/03/2024;148,99;Fixe;9793;2
13701614;148027416;F-0324-1456233;04/03/2024;148,99;Fixe;10863;5
13683645;147604291;F-0324-0942014;03/03/2024;49;Mobile;10329;3
9487946;139229352;F-0324-1467109;04/03/2024;148,99;Fixe;1301;4
13436600;143206727;F-0324-1496997;02/03/2024;199;Mobile;6780;1
5842752;147606704;F-0324-1406887;04/03/2024;49;Mobile;590;2
13031533;136042700;F-0324-1443193;02/03/2024;199;Fixe;5345;2
13558908;145270817;F-0324-1372771;04/03/2024;249;Mobile;7972;5
13255179;140469640;F-0324-1458386;04/03/2024;148,99;Fixe;5920;3
13407262;142924088;F-0324-1503737;04/03/2024;249;Mobile;6560;4
13058409;136606045;F-0324-1451763;04/03/2024;199;Fixe;5399;1
9325514;143039091;F-0324-1502319;04/03/2024;249;Mobile;1240;2
13705667;148159261;F-0324-1452350;04/03/2024;148,99;Fixe;10955;2
13026790;135953097;F-0324-1444085;01/03/2024;199;Fixe;5329;5
12940150;134949296;F-0324-1370789;04/03/2024;49;Mobile;5135;3
13691165;147766337;F-0324-1365524;04/03/2024;49;Mobile;10580;4
3875102;145433360;F-0324-1465680;04/03/2024;148,99;Fixe;130;1
13662595;147136114;F-0324-1309073;02/03/2024;49;Mobile;9679;2
13430385;143195324;F-0324-0422597;01/03/2024;148,99;Fixe;6735;2
13565800;145431010;F-0224-1050516;01/02/2024;49;Mobile;8068;5
13565800;145431010;F-0324-0461931;01/03/2024;49;Mobile;8068;3
13683714;147604452;F-0324-1211007;03/03/2024;261,75;Fixe;10333;4
4467692;117144517;F-0324-1413719;04/03/2024;199;Mobile;271;1
13502152;144241602;F-0324-1241051;01/03/2024;49;Mobile;7317;2
13220752;140045229;F-0324-0544386;02/03/2024;249;Fixe;5821;2
13506181;144308568;F-0324-0443890;01/03/2024;49;Mobile;7368;5
12832185;133239025;F-0324-0428562;01/03/2024;249;Mobile;4887;3
13488345;144076342;F-0324-0441628;01/03/2024;49;Mobile;7133;4
13653897;146970090;F-0224-1117658;02/02/2024;192,77;Mobile;9399;1
13653897;146970090;F-0324-1280736;02/03/2024;249;Mobile;9399;2
13695909;147935799;F-0324-1345161;04/03/2024;248,98;Fixe;10718;2
13519668;144494648;F-0224-0667657;02/02/2024;49;Mobile;7520;5
13519668;144494648;F-0324-1291932;02/03/2024;49;Mobile;7520;3
13622440;146432649;F-0324-1323069;04/03/2024;47;Mobile;8687;4
13301814;141223682;F-0324-0564617;02/03/2024;99;Mobile;6070;1
13286804;140894945;F-0324-0463485;01/03/2024;199;Mobile;6006;2
11592625;133619374;F-0623-0285017;01/06/2023;349;Fixe;3114;2
11592625;133619374;F-0523-0923269;01/05/2023;349;Fixe;3114;5
11592625;133619374;F-0823-1254380;01/08/2023;849;Fixe;3114;3
11592625;148248032;F-0324-1236491;01/03/2024;304;Mobile;3114;4
13027296;140654550;F-0324-1270119;01/03/2024;99;Mobile;5332;1
13027296;140654550;F-0224-1385664;01/02/2024;99;Mobile;5332;2
13161911;138835082;F-0823-1274462;02/08/2023;249;Mobile;5667;2
13161911;138835082;F-0923-0534493;02/09/2023;249;Mobile;5667;5
12841983;133502304;F-0324-1243827;01/03/2024;49;Mobile;4905;3
12911521;146970538;F-0224-1143320;02/02/2024;192,77;Mobile;5071;4
12911521;146970538;F-0324-1295460;02/03/2024;249;Mobile;5071;1
12995368;135604312;F-0324-1232559;03/03/2024;49;Mobile;5257;2
13681494;147520387;F-0324-1226704;03/03/2024;99;Mobile;10254;2
13338454;145343692;F-0324-1250013;01/03/2024;99;Mobile;6205;5
13679653;147517050;F-0324-1344225;04/03/2024;49;Mobile;10185;3
13691461;147766861;F-0324-1333859;04/03/2024;199;Mobile;10591;4
12653592;144512915;F-0324-1245563;01/03/2024;49;Mobile;4554;1
13443723;143366724;F-0324-1293041;02/03/2024;99;Mobile;6826;2
12783064;132361779;F-0324-1299917;02/03/2024;49;Mobile;4788;2
12582773;136863012;F-0324-0523542;02/03/2024;49;Mobile;4450;5
11719201;112104935;F-0324-1230340;03/03/2024;49;Mobile;3273;3
12989850;144063494;F-0324-1229859;03/03/2024;49;Mobile;5246;4
13161330;138834087;F-0324-1302630;02/03/2024;48;Mobile;5666;1
13393094;142660484;F-0324-0019080;03/03/2024;148,99;Fixe;6494;2
12131220;138832871;F-0324-0025582;03/03/2024;249;Fixe;3801;2
13565048;145369559;F-0224-1049896;01/02/2024;49;Mobile;8055;5
13565048;145369559;F-0324-0448744;01/03/2024;49;Mobile;8055;3
13517541;144460268;F-0224-0569494;02/02/2024;99;Mobile;7491;4
13517541;144460268;F-0324-0515828;02/03/2024;99;Mobile;7491;1
13504611;144305964;F-0324-0423174;01/03/2024;49;Mobile;7348;2
13504611;144305964;F-0224-0265507;01/02/2024;49;Mobile;7348;2
13504611;144305965;F-0224-0369323;01/02/2024;49;Mobile;7348;5
13504611;144305965;F-0324-0272375;01/03/2024;49;Mobile;7348;3
13491934;144082603;F-0324-0420728;01/03/2024;99;Mobile;7182;4
13491934;144082603;F-0224-0365982;01/02/2024;99;Mobile;7182;1
13522979;144514202;F-0224-0546069;02/02/2024;49;Mobile;7562;2
13522979;144514202;F-0324-0594013;02/03/2024;49;Mobile;7562;2
12131220;119208860;F-0623-0097891;03/06/2023;249;Fixe;3801;5
12131220;119208860;F-0723-0130038;03/07/2023;249;Fixe;3801;3
13156651;138825751;F-0324-0592498;02/03/2024;49;Mobile;5654;4
13565048;145369558;F-0224-1067906;01/02/2024;49;Mobile;8055;1
13565048;145369558;F-0324-0448361;01/03/2024;49;Mobile;8055;2
11559189;109683471;F-0324-0510537;02/03/2024;49;Mobile;3081;2
11128649;103315790;F-0324-0444649;01/03/2024;349;Mobile;2678;5
10667653;97194869;F-0324-0453926;01/03/2024;199;Mobile;2295;3
10667653;97194869;F-0224-0338201;01/02/2024;199;Mobile;2295;4
13093893;137617415;F-0324-0504289;02/03/2024;148,99;Fixe;5495;1
13563215;145366244;F-0224-1094495;01/02/2024;49;Mobile;8028;2
13563215;145366244;F-0324-0465109;01/03/2024;49;Mobile;8028;2
13487092;144074380;F-0324-0455505;01/03/2024;49;Mobile;7125;5
13129654;138421050;F-0224-0387283;01/02/2024;48;Mobile;5585;3
13129654;138421050;F-0324-0433445;01/03/2024;49;Mobile;5585;4
13586129;145697370;F-0324-0504723;02/03/2024;199;Mobile;8286;1
13418495;143028775;F-0324-0472951;01/03/2024;49;Mobile;6645;2
13599951;145895219;F-0324-0503634;02/03/2024;199;Mobile;8430;2
13038575;136167259;F-0324-0516415;02/03/2024;99;Mobile;5357;5
12467688;125410713;F-0723-0617541;02/07/2023;49;Mobile;4292;3
12467688;125410713;F-0823-0523554;02/08/2023;49;Mobile;4292;4
12467688;146764589;F-0324-0605542;02/03/2024;99;Mobile;4292;1
13643717;146879945;F-0324-1027455;01/03/2024;49;Mobile;9112;2
13274611;140700901;F-0324-0312908;01/03/2024;48;Mobile;5972;2
13425337;143041118;F-0224-0337812;01/02/2024;99;Mobile;6697;5
13425337;143041118;F-0324-0250571;01/03/2024;99;Mobile;6697;3
11789643;143031033;F-0324-0832869;04/03/2024;49;Mobile;3351;4
12285087;145336804;F-0224-0407230;01/02/2024;49;Mobile;4012;1
12285087;145336804;F-0324-0367997;01/03/2024;49;Mobile;4012;2
13560044;145333379;F-0224-1082714;01/02/2024;48;Mobile;7982;2
13560044;145333379;F-0324-0261101;01/03/2024;49;Mobile;7982;5
13574472;145446672;F-0324-0285592;01/03/2024;49;Mobile;8164;3
12455983;125067611;F-0223-0273830;01/02/2023;240;Fixe;4278;4
12455983;125067611;F-0323-0303987;01/03/2023;240;Fixe;4278;1
12455983;125067611;F-0523-1215092;01/05/2023;740;Fixe;4278;2
13499782;144237123;F-0224-0297503;01/02/2024;49;Mobile;7289;2
13499782;144237123;F-0324-0393181;01/03/2024;49;Mobile;7289;5
13571569;145441381;F-0324-0319471;01/03/2024;199;Mobile;8146;3
13684346;147605802;F-0224-0987617;03/02/2024;99;Mobile;10357;4
13684346;147605802;F-0324-0907503;03/03/2024;99;Mobile;10357;1
13668650;147148099;F-0324-0959016;02/03/2024;49;Mobile;9862;2
12704172;143529061;F-0324-0228910;01/03/2024;49;Mobile;4627;2
11979977;117236877;F-0224-0261417;01/02/2024;49;Mobile;3597;5
11979977;117236877;F-0324-0303875;01/03/2024;49;Mobile;3597;3
12013711;145076089;F-0324-0865396;04/03/2024;249;Fixe;3643;4
13664231;147139167;F-0324-0971216;02/03/2024;49;Mobile;9727;1
13616177;146120807;F-0324-0919387;03/03/2024;148,99;Fixe;8608;2
4601931;131813187;F-0623-1300714;04/06/2023;12,84;Mobile;299;2
4601931;131813187;F-0523-0670559;04/05/2023;199;Mobile;299;5
13661151;147133147;F-0224-1125346;02/02/2024;49;Mobile;9626;3
13661151;147133147;F-0324-0969101;02/03/2024;49;Mobile;9626;4
12916824;148252141;F-0324-0949769;02/03/2024;239;Mobile;5080;1
4601931;136957596;F-0324-0847551;04/03/2024;148,99;Fixe;299;2
6011753;145363400;F-0324-0839435;04/03/2024;49;Mobile;657;2
13683210;147603529;F-0224-1009210;03/02/2024;49;Mobile;10317;5
13683210;147603529;F-0324-0921558;03/03/2024;49;Mobile;10317;3
12407137;146789792;F-0324-0971295;02/03/2024;49;Mobile;4208;4
11851874;147344970;F-0224-1008701;03/02/2024;49;Mobile;3416;1
11851874;147344970;F-0324-0943120;03/03/2024;49;Mobile;3416;2
13684709;147606724;F-0224-1004117;03/02/2024;49;Mobile;10367;2
13684709;147606724;F-0324-0928635;03/03/2024;49;Mobile;10367;5
13669892;147150320;F-0224-1148375;02/02/2024;49;Mobile;9892;3
13669892;147150320;F-0324-0966976;02/03/2024;49;Mobile;9892;4
13663760;147138285;F-0224-1109959;02/02/2024;128,39;Mobile;9711;1
13663760;147138285;F-0324-1288462;02/03/2024;199;Mobile;9711;2
5957900;133213727;F-0224-0913554;04/02/2024;49;Mobile;633;2
5957900;133213727;F-0324-0891592;04/03/2024;49;Mobile;633;5
3673434;105319207;F-0224-0933154;04/02/2024;240;Fixe;58;3
3673434;105319207;F-0324-0806573;04/03/2024;240;Fixe;58;4
12065402;122325096;F-0324-0674534;02/03/2024;349;Fixe;3717;1
13360893;142216578;F-0324-1296847;02/03/2024;248,98;Fixe;6337;2
12297766;146760505;F-0324-1284298;02/03/2024;149;Mobile;4034;2
12140269;119328354;F-0324-0792856;04/03/2024;240;Fixe;3812;5
11745420;143026543;F-0324-1233352;03/03/2024;249;Fixe;3300;3
12054804;118253783;F-0324-1298824;02/03/2024;49;Mobile;3697;4
13624960;146517480;F-0224-1157106;04/02/2024;49;Mobile;8710;1
13624960;146517480;F-0324-1324205;04/03/2024;49;Mobile;8710;2
12115725;140660123;F-0324-1293500;02/03/2024;149;Mobile;3780;2
12115725;140660123;F-0224-1413123;02/02/2024;149;Mobile;3780;5
13069933;136871274;F-0324-1243729;01/03/2024;49;Mobile;5429;3
13659651;147070037;F-0224-1106153;02/02/2024;176,71;Mobile;9576;4
13659651;147070037;F-0324-1297267;02/03/2024;249;Mobile;9576;1
13636543;146787158;F-0324-1264848;01/03/2024;49;Mobile;8904;2
12393919;142952926;F-0324-1252729;01/03/2024;49;Mobile;4182;2
13491600;144082035;F-0324-1274760;01/03/2024;49;Mobile;7174;5
12447031;124750328;F-0324-1265400;01/03/2024;49;Mobile;4262;3
13649648;146962180;F-0324-1242846;01/03/2024;149;Mobile;9275;4
13302208;141224406;F-0324-1308647;02/03/2024;99;Mobile;6072;1
13323137;141620330;F-0324-1343450;04/03/2024;99;Mobile;6142;2
13357382;142149860;F-0324-1288265;02/03/2024;99;Mobile;6321;2
13361291;142217181;F-0324-1296547;02/03/2024;49;Mobile;6341;5
11385685;147767372;F-0324-1278075;02/03/2024;296,48;Fixe;2912;3
13415735;148271820;F-0324-1257455;01/03/2024;49;Mobile;6627;4
11460649;138404892;F-0324-1206140;03/03/2024;149;Mobile;2984;1
12393919;123508719;F-0324-1240906;01/03/2024;99;Mobile;4182;2
11661365;111217495;F-0324-1290796;02/03/2024;99;Mobile;3203;2
13549953;145071894;F-0324-1332330;04/03/2024;248,98;Fixe;7881;5
11060859;102201815;F-0324-1238873;01/03/2024;99;Mobile;2612;3
13189813;139423318;F-0324-1211558;03/03/2024;99;Mobile;5742;4
13058691;136606555;F-0324-1319556;04/03/2024;249;Fixe;5401;1
11385685;118668231;F-0324-1518377;02/03/2024;111,62;Fixe;2912;2
11385685;118668231;F-0224-0609962;02/02/2024;249;Fixe;2912;2
12313316;145351026;F-0324-1234351;03/03/2024;149;Mobile;4051;5
13647605;146927412;F-0224-1042200;01/02/2024;173,32;Mobile;9213;3
13647605;146927412;F-0324-1236252;01/03/2024;199;Mobile;9213;4
13676088;147345381;F-0324-1221497;03/03/2024;249;Mobile;10080;1
13580952;145605655;F-0324-1277559;02/03/2024;49;Mobile;8234;2
13698247;148020300;F-0324-1344274;04/03/2024;49;Mobile;10771;2
13656221;147023643;F-0324-1295567;02/03/2024;249;Mobile;9478;5
11229615;140673488;F-0324-1271078;01/03/2024;169;Mobile;2782;3
13680226;147518054;F-0324-1228016;03/03/2024;49;Mobile;10211;4
13391486;142657597;F-0324-1231785;03/03/2024;248,98;Fixe;6488;1
13684254;147605588;F-0324-1220800;03/03/2024;249;Mobile;10349;2
13534025;144692248;F-0324-1230477;03/03/2024;49;Mobile;7680;2
13246133;140392939;F-0324-0026782;03/03/2024;148,99;Fixe;5888;5
13540302;144844139;F-0324-0013091;03/03/2024;49;Mobile;7773;3
12661791;129985442;F-0224-0708864;02/02/2024;199;Mobile;4566;4
12661791;129985442;F-0324-0553808;02/03/2024;199;Mobile;4566;1
13493972;144146384;F-0324-0465942;01/03/2024;49;Mobile;7214;2
13409810;142953711;F-0324-1239028;01/03/2024;124;Mobile;6577;2
13391913;142658326;F-0324-1204767;03/03/2024;49;Mobile;6491;5
11376222;134319715;F-0324-1306389;02/03/2024;149;Mobile;2901;3
13505783;144308018;F-0324-1246439;01/03/2024;49;Mobile;7367;4
13508825;144313639;F-0224-0665409;02/02/2024;49;Mobile;7396;1
13508825;144313639;F-0324-0595410;02/03/2024;49;Mobile;7396;2
13683874;147604698;F-0324-1228208;03/03/2024;248,98;Fixe;10338;2
13508825;144313638;F-0224-0668911;02/02/2024;49;Mobile;7396;5
13508825;144313638;F-0324-0565847;02/03/2024;49;Mobile;7396;3
12589988;128822700;F-0324-0525558;02/03/2024;249;Fixe;4463;4
13464834;143761648;F-0324-1204567;03/03/2024;49;Mobile;6973;1
12789709;149438601;F-0324-1291231;02/03/2024;99;Mobile;4802;2
13364847;142288423;F-0324-1307144;02/03/2024;49;Mobile;6365;2
13364847;142288423;F-0224-1136938;02/02/2024;109;Mobile;6365;5
13646229;146884600;F-0324-1246851;01/03/2024;249;Mobile;9180;3
13698499;148020745;F-0324-1333982;04/03/2024;49;Mobile;10782;4
13692885;147849646;F-0324-1311476;04/03/2024;49;Mobile;10638;1
13336106;141931231;F-0324-1238821;01/03/2024;49;Mobile;6191;2
13660498;147071616;F-0324-1287460;02/03/2024;49;Mobile;9605;2
13660498;147071616;F-0224-1112154;02/02/2024;49;Mobile;9605;5
13656483;147024135;F-0224-1106713;02/02/2024;184,74;Mobile;9487;3
13656483;147024135;F-0324-1305751;02/03/2024;249;Mobile;9487;4
12369026;123131462;F-0324-1223842;03/03/2024;49;Mobile;4136;1
11874047;115489496;F-0324-1286799;02/03/2024;49;Mobile;3438;2
12862189;133902899;F-0324-1234760;03/03/2024;99;Mobile;4959;2
13686003;147609022;F-0324-1210604;03/03/2024;49;Mobile;10414;5
13403769;142855746;F-0324-1344377;04/03/2024;49;Mobile;6539;3
10836856;99348641;F-0324-1254877;01/03/2024;149;Mobile;2429;4
13612160;149451394;F-0324-1224889;03/03/2024;49;Mobile;8565;1
13249854;140399584;F-0324-1218873;03/03/2024;49;Mobile;5901;2
12047208;122393949;F-0324-1263900;01/03/2024;49;Mobile;3685;2
13517281;144459747;F-0324-1305732;02/03/2024;49;Mobile;7487;5
13296124;141152249;F-0324-1301349;02/03/2024;49;Mobile;6045;3
13646610;146925608;F-0324-1263349;01/03/2024;248,98;Fixe;9185;4
13675425;147344253;F-0324-1207397;03/03/2024;249;Mobile;10062;1
11502158;148268417;F-0324-1300289;02/03/2024;49;Mobile;3030;2
12980784;135388931;F-0324-1296623;02/03/2024;199;Mobile;5225;2
11151437;103757327;F-0324-1218835;03/03/2024;99;Mobile;2704;5
13372195;142366600;F-0324-1305723;02/03/2024;49;Mobile;6407;3
12721408;135846130;F-0324-1301327;02/03/2024;99;Mobile;4660;4
13101031;144906731;F-0324-1235363;03/03/2024;119;Mobile;5516;1
13355781;145430509;F-0324-1302834;02/03/2024;249;Fixe;6309;2
13488470;144076578;F-0324-1238932;01/03/2024;49;Mobile;7137;2
13686511;147609935;F-0324-1216403;03/03/2024;249;Fixe;10422;5
13699554;148023328;F-0324-1312668;04/03/2024;49;Mobile;10809;3
13699554;148023328;F-0224-1437168;04/02/2024;49;Mobile;10809;4
13595624;145886999;F-0324-1280731;02/03/2024;248,98;Fixe;8382;1
13677309;147432659;F-0324-1208695;03/03/2024;49;Mobile;10114;2
13418467;143028732;F-0324-1274633;01/03/2024;49;Mobile;6643;2
13669223;147149130;F-0324-1300157;02/03/2024;249;Mobile;9874;5
13652470;146967573;F-0324-0964690;02/03/2024;99;Mobile;9355;3
13401529;142791290;F-0324-1343494;04/03/2024;199;Mobile;6526;4
13701205;148026630;F-0324-1345188;04/03/2024;49;Mobile;10853;1
13655324;147021969;F-0324-1280163;02/03/2024;248,98;Fixe;9446;2
13653539;146969495;F-0324-0966744;02/03/2024;199;Mobile;9387;2
13664112;147138936;F-0324-0951497;02/03/2024;49;Mobile;9722;5
13665429;147141560;F-0324-0956503;02/03/2024;49;Mobile;9755;3
12726839;142431252;F-0324-0880541;04/03/2024;249;Fixe;4669;4
13672358;147255227;F-0324-0911430;03/03/2024;49;Mobile;9958;1
13672358;147255229;F-0324-0934305;03/03/2024;49;Mobile;9958;2
13653759;146969835;F-0224-1113306;02/02/2024;49;Mobile;9390;2
13653759;146969835;F-0324-0955806;02/03/2024;49;Mobile;9390;5
13596615;145888881;F-0324-1292943;02/03/2024;49;Mobile;8398;3
13603583;145917134;F-0324-1234194;03/03/2024;49;Mobile;8462;4
13674681;147342837;F-0224-0999300;03/02/2024;49;Mobile;10038;1
13674681;147342837;F-0324-0945805;03/03/2024;49;Mobile;10038;2
13664894;147140398;F-0224-1119059;02/02/2024;49;Mobile;9747;2
13664894;147140398;F-0324-0958392;02/03/2024;49;Mobile;9747;5
13670623;147151654;F-0324-0958411;02/03/2024;99;Mobile;9912;3
13671754;147254128;F-0224-1029505;03/02/2024;49;Mobile;9950;4
13671754;147254128;F-0324-0916083;03/03/2024;49;Mobile;9950;1
13667340;147145369;F-0224-1107865;02/02/2024;49;Mobile;9820;2
13667340;147145369;F-0324-0959985;02/03/2024;49;Mobile;9820;2
13672358;147255231;F-0324-0929203;03/03/2024;49;Mobile;9958;5
13672358;147255228;F-0324-0926321;03/03/2024;49;Mobile;9958;3
13679090;147435788;F-0324-0942843;03/03/2024;99;Mobile;10171;4
7766238;139800847;F-0324-0825350;04/03/2024;49;Mobile;988;1
13671549;147253770;F-0324-0919392;03/03/2024;49;Mobile;9941;2
13670500;147151410;F-0224-1143285;02/02/2024;49;Mobile;9906;2
13670500;147151410;F-0324-0959019;02/03/2024;49;Mobile;9906;5
13661634;147134156;F-0224-1111270;02/02/2024;49;Mobile;9655;3
13661634;147134156;F-0324-0960762;02/03/2024;49;Mobile;9655;4
13681716;147520772;F-0324-0934993;03/03/2024;49;Mobile;10261;1
13683515;147604069;F-0224-1008915;03/02/2024;49;Mobile;10325;2
13683515;147604069;F-0324-0908457;03/03/2024;49;Mobile;10325;2
13437838;143208961;F-0324-0961410;02/03/2024;49;Mobile;6788;5
13678052;147433997;F-0324-0930406;03/03/2024;49;Mobile;10141;3
13667942;147146845;F-0224-1114081;02/02/2024;109,13;Mobile;9835;4
13667942;147146845;F-0324-1305458;02/03/2024;199;Mobile;9835;1
12361944;142073039;F-0324-1217391;03/03/2024;186,75;Fixe;4128;2
10809888;145923530;F-0324-0812097;04/03/2024;199;Mobile;2410;2
13486080;144046149;F-0324-1246549;01/03/2024;99;Mobile;7112;5
13656074;147023383;F-0324-1297056;02/03/2024;249;Mobile;9473;3
10694990;98576192;F-0324-1228125;03/03/2024;199;Mobile;2324;4
13049595;136366037;F-0324-1205903;03/03/2024;49;Mobile;5384;1
13530664;144669486;F-0324-1221314;03/03/2024;49;Mobile;7641;2
13569930;145438651;F-0324-1244637;01/03/2024;248,98;Fixe;8125;2
10684493;109905478;F-0324-1304687;02/03/2024;69;Mobile;2311;5
11693888;133217649;F-0324-1261188;01/03/2024;269;Mobile;3239;3
12781337;139698947;F-0324-1294410;02/03/2024;99;Mobile;4784;4
13587503;145699854;F-0324-1283342;02/03/2024;49;Mobile;8303;1
13385357;142586322;F-0324-1226983;03/03/2024;49;Mobile;6462;2
10710453;142928286;F-0324-1319224;04/03/2024;49;Mobile;2337;2
13674137;147341778;F-0324-1210791;03/03/2024;249;Mobile;10015;5
13660267;147071028;F-0224-1148545;02/02/2024;141,23;Mobile;9595;3
13660267;147071028;F-0324-1300149;02/03/2024;199;Mobile;9595;4
13426068;143112541;F-0324-1271742;01/03/2024;99;Mobile;6702;1
13412058;148247956;F-0324-1244529;01/03/2024;49;Mobile;6595;2
13650902;146964386;F-0324-1236757;01/03/2024;199;Mobile;9307;2
13577852;145519872;F-0324-1273845;01/03/2024;49;Mobile;8210;5
13495758;144149467;F-0324-1253044;01/03/2024;199;Mobile;7229;3
13693209;147850288;F-0324-1326832;04/03/2024;249;Mobile;10645;4
13519906;144495072;F-0324-1281444;02/03/2024;49;Mobile;7524;1
13660267;147071027;F-0324-1282552;02/03/2024;199;Mobile;9595;2
11915510;116359735;F-0324-1333747;04/03/2024;49;Mobile;3501;2
13489545;144078401;F-0324-1264835;01/03/2024;49;Mobile;7152;5
13496875;144151697;F-0324-1252838;01/03/2024;99;Mobile;7252;3
13631356;146751612;F-0324-1330700;04/03/2024;199;Mobile;8775;4
11480877;148248745;F-0324-1241531;01/03/2024;69;Mobile;3006;1
11480877;139696283;F-0923-1380403;01/09/2023;49;Mobile;3006;2
13657893;147066909;F-0224-1146525;02/02/2024;176,71;Mobile;9536;2
13657893;147066909;F-0324-1297765;02/03/2024;249;Mobile;9536;5
10929475;147606824;F-0324-1279470;02/03/2024;49;Mobile;2513;3
13637354;146788932;F-0224-1077758;01/02/2024;240,97;Mobile;8923;4
13637354;146788932;F-0324-1241548;01/03/2024;249;Mobile;8923;1
13134581;138509896;F-0324-1274118;01/03/2024;49;Mobile;5595;2
13405431;142919936;F-0324-1326493;04/03/2024;49;Mobile;6554;2
12614711;138396190;F-0324-1211352;03/03/2024;49;Mobile;4496;5
10732576;97970298;F-0324-1238573;01/03/2024;99;Mobile;2354;3
12602461;129087238;F-0324-1206180;03/03/2024;49;Mobile;4477;4
